Site,Lat,Lon,Height,Dt,Days,N_ITRF2005,N-1sigma_ITRF2005,E_ITRF2005,E-1sigma_ITRF2005,U_ITRF2005,U-1sigma_ITRF2005,N_Cari,N-1sigma_Cari,E_Cari,E-1sigma_Cari,U_Cari,U-1sigma_Cari
CABA,10.2379,85.3435,26.96,0.96,353,27.4,2.3,20.2,1.9,3.2,7.8,20.8,2.4,6.7,1.9,3,7.8
EPZA,10.1409,85.5681,668.4,0.96,323,31,2.5,21.4,2,4.3,7.3,24.4,2.6,7.9,2,4.1,7.3
GRZA,9.9155,85.6356,39.32,4.25,1201,30.4,0.8,20.6,0.7,-11.2,1.8,23.9,0.9,6.9,0.8,-11.4,1.8
HATI,10.2922,85.7101,58.6,4.24,1543,22.4,0.6,13,0.6,-3,1.8,15.9,0.7,-0.5,0.7,-3.3,1.8
HUA2,10.0177,85.3517,593.92,6.9,2198,24.9,0.3,16.1,0.4,-3.2,1.1,18.3,0.6,2.6,0.6,-3.5,1.1
IND1,9.8646,85.5022,75.29,7.49,2369,31.2,0.4,16.7,0.4,-12.1,1.1,24.6,0.6,3.1,0.6,-12.3,1.1
LAFE,9.8071,84.9603,65.24,1.16,426,28.2,2,20.3,1.9,-13.5,7.4,21.4,2.1,6.7,2,-13.7,7.4
LEPA,9.9454,85.0312,20.93,4.37,1579,21.3,0.6,14.1,0.7,-0.1,1.9,14.6,0.8,0.5,0.8,-0.3,1.9
LMNL,10.2675,85.0533,102.97,3.33,1216,21.2,0.7,14.3,0.6,0.1,2.4,14.4,0.8,0.8,0.8,-0.1,2.4
PNEG,10.1955,85.829,19.56,4.39,1501,20.2,0.6,14.1,0.6,-6.7,2,13.8,0.8,0.6,0.7,-6.9,2
PUJE,10.114,85.2725,30.11,6.77,2155,23.6,0.4,16.1,0.4,-2.5,1.1,16.9,0.6,2.6,0.6,-2.8,1.1
PUMO,10.0645,84.9667,17.96,3.16,1141,20.9,0.8,14,0.8,1.3,2.5,14.1,0.9,0.5,0.9,1.1,2.5
QSEC,9.8404,85.3573,17.44,4.36,1355,26.4,0.7,13,0.7,-4.7,1.8,19.8,0.8,-0.6,0.8,-4.9,1.8
SAJU,10.0671,85.7106,73.44,2.47,903,25.9,1.1,18.1,1,-7,3.3,19.4,1.2,4.6,1.1,-7.3,3.3
VERA,10.8536,84.869,64.32,1.13,413,9.9,1.9,17.8,1.7,-2.4,6.8,3.1,2,4.6,1.7,-2.7,6.8
